,"Chinese_by夏堇"
"_ForgotToLockMaterial",";;您忘记锁定此材料；"
"_LockTooltip","默认情况下，锁定时动画不起作用。如果要为其设置动画，请右键单击属性。着色器将在上传时自动锁定。"
"GeometryShader_Enabled","几何着色器"
"Tessellation_Enabled","曲面细分"
"_Mode","渲染预设"
"m_mainCategory","颜色和法线"
"_Color","颜色"
"_MainTex","纹理"
"_MainTexUV","纹理UV"
"_MainTexPan","纹理平移"
"_MainPixelMode","像素模式"
"_MainTexStochastic","随机抽样"
"_BumpMap","法线贴图"
"_BumpMapPan","平移"
"_BumpMapUV","UV"
"_BumpScale","强度"
"_BumpMapStochastic","随机抽样"
"_ClippingMask","透明通道"
"_ClippingMaskPan","平移"
"_ClippingMaskUV","UV"
"_Inverse_Clipping","反转"
"_Cutoff","Alpha_关闭"
"m_start_MainHueShift","色彩调整"
"_MainColorAdjustToggle","调整颜色"
"_MainColorAdjustTexture","主颜色调整纹理"
"_MainColorAdjustTexturePan","纹理平移"
"_MainColorAdjustTextureUV","纹理UV"
"_Saturation","饱和"
"_MainBrightness","亮度"
"_MainHueShiftToggle","<size=13><b>色调偏移</b></size>"
"_MainHueShiftReplace","色相替换？"
"_MainHueShift","色相偏移"
"_MainHueShiftSpeed","色相移动速度"
"_MainHueALCTEnabled","<size=13><b> 色调偏移音频链接</b></size>"
"_MainALHueShiftBand","Alpha 色相偏移波段"
"_MainALHueShiftCTIndex","运动类型"
"_MainHueALMotionSpeed","运动速度"
"m_start_MainHueShiftGlobalMask","全局遮罩"
"_MainHueGlobalMask","色调"
"_MainHueGlobalMaskBlendType","混合"
"_MainSaturationGlobalMask","饱和"
"_MainSaturationGlobalMaskBlendType","混合"
"_MainBrightnessGlobalMask","亮度"
"_MainBrightnessGlobalMaskBlendType","混合"
"m_end_MainHueShiftGlobalMask","全局遮罩"
"m_end_MainHueShift","色相偏移"
"m_start_Alpha","Alpha"
"_AlphaForceOpaque","强制不透明"
"_AlphaMod","Alpha 模组"
"_AlphaPremultiply","Alpha 预乘"
"_AlphaBoostFA","提高 ForwardAdd 的透明度"
"_AlphaToCoverage","<size=13><b> Alpha 覆盖范围</b></size>"
"_AlphaSharpenedA2C","锐化A2C"
"_AlphaMipScale","Mip 级别 Alpha 量表"
"_AlphaDithering","<size=13><b>抖动</b></size>"
"_AlphaDitherGradient","抖动渐变"
"_AlphaDistanceFade","<size=13><b>距离 Alpha</b></size>"
"_AlphaDistanceFadeType","使用位置"
"_AlphaDistanceFadeMinAlpha","最小距离 Alpha"
"_AlphaDistanceFadeMaxAlpha","最大距离Alpha"
"_AlphaDistanceFadeMin","最短距离"
"_AlphaDistanceFadeMax","最大距离"
"_AlphaFresnel","<size=13><b>菲涅尔Alpha</b></size>"
"_AlphaFresnelAlpha","强度"
"_AlphaFresnelSharpness","清晰度"
"_AlphaFresnelWidth","宽度"
"_AlphaFresnelInvert","反转 Alpha 菲涅尔效应"
"_AlphaAngular","<size=13><b> 角度 Alpha</b></size>"
"_AngleType","角型"
"_AngleCompareTo","模型或垂直位置"
"_AngleForwardDirection","前进方向"
"_CameraAngleMin","最小摄像机角度"
"_CameraAngleMax","最大摄像角度"
"_ModelAngleMin","模型最小角度"
"_ModelAngleMax","型号最大角度"
"_AngleMinAlpha","最小Alpha"
"_AlphaAudioLinkEnabled","<size=13><b>Alpha 音频链接</b></size>"
"_AlphaAudioLinkAddBand","添加Band(范围约束)"
"_AlphaAudioLinkAddRange","添加范围"
"m_start_AlphaGlobalMask","全局遮罩"
"_AlphaGlobalMask","Alpha"
"_AlphaGlobalMaskBlendType","混合"
"m_end_AlphaGlobalMask","全局遮罩"
"m_end_Alpha","Alpha"
"m_start_DetailOptions","细节"
"_DetailEnabled","使能够"
"_DetailMask","细节蒙版（展开）"
"_DetailMaskPan","平移"
"_DetailMaskUV","UV"
"_DetailTint","细节纹理色调"
"_DetailMaskStochastic","随机抽样"
"_DetailTex","细节纹理"
"_DetailTexPan","平移"
"_DetailTexUV","UV"
"_DetailTexStochastic","随机抽样"
"_DetailTexIntensity","细节强度"
"_DetailBrightness","细节亮度："
"_DetailNormalMap","细节 正常"
"_DetailNormalMapScale","细节正常强度"
"_DetailNormalMapPan","平移"
"_DetailNormalMapUV","UV"
"_DetailNormalMapStochastic","随机抽样"
"m_end_DetailOptions","细节"
"m_start_vertexManipulation","顶点选​​项"
"_VertexManipulationsEnabled",""
"_VertexManipulationLocalTranslation","本地平移"
"_VertexManipulationLocalRotation","本地旋转"
"_VertexManipulationLocalRotationSpeed","本地旋转速度"
"_VertexManipulationLocalScale","本地缩放"
"_VertexManipulationWorldTranslation","世界平移"
"_VertexManipulationHeight","顶点高度"
"_VertexManipulationHeightMask","高度遮罩"
"_VertexManipulationHeightMaskPan","高度遮罩平移"
"_VertexManipulationHeightMaskUV","高度遮罩UV"
"_VertexManipulationHeightMaskChannel","高度遮罩通道"
"_VertexManipulationHeightBias","高度偏移"
"_VertexRoundingEnabled","顶点圆角"
"_VertexRoundingSpace","圆角空间"
"_VertexRoundingDivision","圆角细分"
"_VertexBarrelMode","<size=13><b>桶状模式</b></size>"
"_VertexBarrelWidth","桶状宽度"
"_VertexBarrelAlpha","桶状 Alpha"
"_VertexBarrelHeight","桶状高度"
"_VertexAudioLinkEnabled","<size=13><b>音频链接</b></size>"
"_VertexLocalTranslationALBand","本地变换频带"
"_VertexLocalTranslationALMin","本地变换最小值"
"_VertexLocalTranslationALMax","本地变换最大值"
"_VertexLocalRotationALBandX","本地旋转频带 X"
"_VertexLocalRotationALBandY","本地旋转频带 Y"
"_VertexLocalRotationALBandZ","本地旋转频带 Z"
"_VertexLocalRotationAL","本地旋转"
"_VertexLocalRotationCTALBandX","定时旋转频带 X"
"_VertexLocalRotationCTALTypeX","定时旋转类型 X"
"_VertexLocalRotationCTALBandY","定时旋转频带 Y"
"_VertexLocalRotationCTALTypeY","定时旋转类型 Y"
"_VertexLocalRotationCTALBandZ","定时旋转频带 Z"
"_VertexLocalRotationCTALTypeZ","定时旋转类型 Z"
"_VertexLocalRotationCTALSpeed","定时旋转速度"
"_VertexLocalScaleALBand","本地缩放频带"
"_VertexLocalScaleALMin","本地缩放最小值"
"_VertexLocalScaleALMax","本地缩放最大值"
"_VertexWorldTranslationALBand","全局变换频带"
"_VertexWorldTranslationALMin","全局变换最小值"
"_VertexWorldTranslationALMax","全局变换最大值"
"_VertexManipulationHeightBand","顶点高度频带"
"_VertexManipulationHeightAL","顶点高度调整"
"_VertexRoundingRangeBand","顶点圆角频带"
"_VertexRoundingRangeAL","顶点圆角范围"
"m_end_vertexManipulation","结束顶点操作"
"m_start_vertexGlitching","顶点故障"
"_VertexGlitchingEnabled","顶点故障"
"_VertexGlitchingUseTexture","<size=13><b>使用纹理</b></size>"
"_VertexGlitchMap","故障贴图 "
"_VertexGlitchDensity","毛刺密度"
"_VertexGlitchMapPanSpeed","故障贴图平移速度"
"_VertexGlitchFrequency","毛刺间隔"
"_VertexGlitchThreshold","毛刺阈值"
"_VertexGlitchStrength","毛刺强度"
"_VertexGlitchMirrorEnable","<size=13><b>镜子</b></size>"
"_VertexGlitchMirror","在镜子中展示"
"_VertexGlitchingAudioLinkEnabled","<size=13><b>音频链接</b></size>"
"_VertexGlitchingAudioLinkBand","故障带"
"_VertexGlitchingAudiolinkOverride","使用 Audiolink 覆盖毛刺强度"
"m_end_vertexGlitching","结束顶点故障"
"m_start_MainVertexColors","顶点颜色"
"_MainVertexColoringEnabled","顶点着色"
"_MainVertexColoringLinearSpace","线性颜色"
"_MainVertexColoring","使用顶点颜色"
"_MainUseVertexColorAlpha","使用顶点颜色 Alpha"
"m_end_MainVertexColors","结束顶点颜色"
"m_start_backFace","背面"
"_BackFaceEnabled","背面"
"_BackFaceColor","颜色"
"_BackFaceEmissionStrength","发光强度"
"_BackFaceTexture","纹理"
"_BackFaceTexturePan","平移"
"_BackFaceTextureUV","UV"
"_BackFaceMask","背面遮罩"
"_BackFaceMaskPan","平移"
"_BackFaceMaskUV","UV"
"_BackFaceMaskChannel","通道"
"_BackFaceDetailIntensity","细节强度"
"_BackFaceReplaceAlpha","替换 Alpha"
"_BackFaceEmissionLimiter","发光限制器"
"_BackFaceHueShiftEnabled","<size=13><b>色调偏移</b></size>"
"_BackFaceHueShift","色调偏移"
"_BackFaceHueShiftSpeed","色调偏移速度"
"m_end_backFace","结束背面"
"m_start_RGBMask"," RGB 遮罩"
"_RGBMaskEnabled"," RGB 遮罩"
"_RGBUseVertexColors","使用顶点颜色"
"_RGBBlendMultiplicative","乘法混合"
"_RGBMask","遮罩"
"_RGBMaskPan","平移"
"_RGBMaskUV","UV"
"m_start_RGBAColors","颜色"
"_RedColor","R"
"_RedTexture","R 纹理"
"_RedTexturePan","平移"
"_RedTextureUV","UV"
"_RedTextureStochastic","随机抽样"
"_RedAlphaAdd","R Alpha添加"
"_GreenColor","G"
"_GreenTexture","G 纹理"
"_GreenTexturePan","平移"
"_GreenTextureUV","UV"
"_GreenTextureStochastic","随机抽样"
"_GreenAlphaAdd","G Alpha添加"
"_BlueColor","B"
"_BlueTexture","B 贴图"
"_BlueTexturePan","平移"
"_BlueTextureUV","UV"
"_BlueTextureStochastic","随机采样"
"_BlueAlphaAdd","B Alpha 增加"
"_AlphaColor","Alpha 颜色"
"_AlphaTexture","Alpha 纹理"
"_AlphaTexturePan","平移"
"_AlphaTextureUV","UV"
"_AlphaTextureStochastic","随机采样"
"_AlphaAlphaAdd","Alpha 增加"
"m_end_RGBAColors","结束 RGBA 颜色"
"m_start_rgbanormals"," RGBA 法线"
"_RgbNormalsEnabled","法线"
"_RGBNormalBlend","基底混合"
"_RgbNormalR","R 法线"
"_RgbNormalRPan","平移"
"_RgbNormalRUV","UV"
"_RgbNormalRStochastic","随机采样"
"_RgbNormalRScale","强度"
"_RgbNormalG","G 法线"
"_RgbNormalGPan","平移"
"_RgbNormalGUV","UV"
"_RgbNormalGStochastic","随机采样"
"_RgbNormalGScale","强度"
"_RgbNormalB","B 法线"
"_RgbNormalBPan","平移"
"_RgbNormalBUV","UV"
"_RgbNormalBStochastic","随机采样"
"_RgbNormalBScale","强度"
"_RgbNormalA","A 法线"
"_RgbNormalAPan","平移"
